CPU time in ms, lat, lng, alt, hh:mm:ss, temp, press, hum
2321, 0.000000, 0.000000, 0.00, 0:0:0, 27.67, 1021.89, 44.31
3624, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.90, 44.40
4847, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.89, 44.53
6072, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.90, 44.53
7380, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.90, 44.51
8610, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.92, 44.51
9870, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.93, 44.55
11096, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.92, 44.54
12319, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.90, 44.47
13557, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.91, 44.43
14780, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.92, 44.44
16002, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.92, 44.53
17251, 0.000000, 0.000000, 0.00, 0:0:0, 27.72, 1021.91, 44.63
18471, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.91, 44.63
19696, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.92, 44.56
20959, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.88, 44.53
22189, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.91, 44.51
23412, 0.000000, 0.000000, 0.00, 0:0:0, 27.70, 1021.92, 44.54
24667, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.91, 44.63
25892, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.92, 44.71
27116, 0.000000, 0.000000, 0.00, 0:0:0, 27.71, 1021.92, 44.77
28377, 0.000000, 0.000000, 0.00, 0:0:0, 27.70, 1021.91, 44.82
29599, 0.000000, 0.000000, 0.00, 0:0:0, 27.70, 1021.92, 44.99
30818, 0.000000, 0.000000, 0.00, 0:0:0, 27.70, 1021.94, 45.09
32078, 0.000000, 0.000000, 0.00, 0:0:0, 27.70, 1021.92, 44.91
